,year,set_number,score_sets,games_winner,games_loser,score_extra,tiebreaker_winner,tiebreaker_loser,country_winner,winner,country_loser,loser,score_match,genderID,typeID,tournID,tourID
1,1881,1,6дус0,6,0,,,,USA,Richard Sears,USA,William Glyn,"6-0, 6-3, 6-2",M,S,USO,ATP
2,1881,2,6дус3,6,3,,,,USA,Richard Sears,USA,William Glyn,"6-0, 6-3, 6-2",M,S,USO,ATP
3,1881,3,6дус2,6,2,,,,USA,Richard Sears,USA,William Glyn,"6-0, 6-3, 6-2",M,S,USO,ATP
4,1882,1,6дус1,6,1,,,,USA,Richard Sears,USA,Clarence Clark,"6-1, 6-4, 6-0",M,S,USO,ATP
5,1882,2,6дус4,6,4,,,,USA,Richard Sears,USA,Clarence Clark,"6-1, 6-4, 6-0",M,S,USO,ATP
6,1882,3,6дус0,6,0,,,,USA,Richard Sears,USA,Clarence Clark,"6-1, 6-4, 6-0",M,S,USO,ATP
7,1883,1,6дус2,6,2,,,,USA,Richard Sears,USA,James Dwight,"6-2, 6-0, 9-7",M,S,USO,ATP
8,1883,2,6дус0,6,0,,,,USA,Richard Sears,USA,James Dwight,"6-2, 6-0, 9-7",M,S,USO,ATP
9,1883,3,9дус7,9,7,,,,USA,Richard Sears,USA,James Dwight,"6-2, 6-0, 9-7",M,S,USO,ATP
10,1884,1,6дус0,6,0,,,,USA,Richard Sears,USA,Howard Taylor,"6-0, 1-6, 6-0, 6-2",M,S,USO,ATP
11,1884,2,1дус6,1,6,,,,USA,Richard Sears,USA,Howard Taylor,"6-0, 1-6, 6-0, 6-2",M,S,USO,ATP
12,1884,3,6дус0,6,0,,,,USA,Richard Sears,USA,Howard Taylor,"6-0, 1-6, 6-0, 6-2",M,S,USO,ATP
13,1884,4,6дус2,6,2,,,,USA,Richard Sears,USA,Howard Taylor,"6-0, 1-6, 6-0, 6-2",M,S,USO,ATP
14,1885,1,6дус3,6,3,,,,USA,Richard Sears,USA,Godfrey Brinley,"6-3, 4-6, 6-0, 6-3",M,S,USO,ATP
15,1885,2,4дус6,4,6,,,,USA,Richard Sears,USA,Godfrey Brinley,"6-3, 4-6, 6-0, 6-3",M,S,USO,ATP
16,1885,3,6дус0,6,0,,,,USA,Richard Sears,USA,Godfrey Brinley,"6-3, 4-6, 6-0, 6-3",M,S,USO,ATP
17,1885,4,6дус3,6,3,,,,USA,Richard Sears,USA,Godfrey Brinley,"6-3, 4-6, 6-0, 6-3",M,S,USO,ATP
18,1886,1,4дус6,4,6,,,,USA,Richard Sears,USA,Robert Livingston Beeckman,"4-6, 6-1, 6-3, 6-4",M,S,USO,ATP
19,1886,2,6дус1,6,1,,,,USA,Richard Sears,USA,Robert Livingston Beeckman,"4-6, 6-1, 6-3, 6-4",M,S,USO,ATP
20,1886,3,6дус3,6,3,,,,USA,Richard Sears,USA,Robert Livingston Beeckman,"4-6, 6-1, 6-3, 6-4",M,S,USO,ATP
21,1886,4,6дус4,6,4,,,,USA,Richard Sears,USA,Robert Livingston Beeckman,"4-6, 6-1, 6-3, 6-4",M,S,USO,ATP
22,1887,1,6дус1,6,1,,,,USA,Richard Sears,USA,Henry Slocum,"6-1, 6-3, 6-2",M,S,USO,ATP
23,1887,2,6дус3,6,3,,,,USA,Richard Sears,USA,Henry Slocum,"6-1, 6-3, 6-2",M,S,USO,ATP
24,1887,3,6дус2,6,2,,,,USA,Richard Sears,USA,Henry Slocum,"6-1, 6-3, 6-2",M,S,USO,ATP
25,1888,1,6дус4,6,4,,,,USA,Henry Slocum,USA,Howard Taylor,"6-4, 6-1, 6-0",M,S,USO,ATP
26,1888,2,6дус1,6,1,,,,USA,Henry Slocum,USA,Howard Taylor,"6-4, 6-1, 6-0",M,S,USO,ATP
27,1888,3,6дус0,6,0,,,,USA,Henry Slocum,USA,Howard Taylor,"6-4, 6-1, 6-0",M,S,USO,ATP
28,1889,1,6дус3,6,3,,,,USA,Henry Slocum,USA,Quincy Shaw,"6-3, 6-1, 4-6, 6-2",M,S,USO,ATP
29,1889,2,6дус1,6,1,,,,USA,Henry Slocum,USA,Quincy Shaw,"6-3, 6-1, 4-6, 6-2",M,S,USO,ATP
30,1889,3,4дус6,4,6,,,,USA,Henry Slocum,USA,Quincy Shaw,"6-3, 6-1, 4-6, 6-2",M,S,USO,ATP
31,1889,4,6дус2,6,2,,,,USA,Henry Slocum,USA,Quincy Shaw,"6-3, 6-1, 4-6, 6-2",M,S,USO,ATP
32,1890,1,6дус2,6,2,,,,USA,Oliver Campbell,USA,Henry Slocum,"6-2, 4-6, 6-3, 6-1",M,S,USO,ATP
33,1890,2,4дус6,4,6,,,,USA,Oliver Campbell,USA,Henry Slocum,"6-2, 4-6, 6-3, 6-1",M,S,USO,ATP
34,1890,3,6дус3,6,3,,,,USA,Oliver Campbell,USA,Henry Slocum,"6-2, 4-6, 6-3, 6-1",M,S,USO,ATP
35,1890,4,6дус1,6,1,,,,USA,Oliver Campbell,USA,Henry Slocum,"6-2, 4-6, 6-3, 6-1",M,S,USO,ATP
36,1891,1,2дус6,2,6,,,,USA,Oliver Campbell,USA,Clarence Hobart,"2-6, 7-5, 7-9, 6-1, 6-2",M,S,USO,ATP
37,1891,2,7дус5,7,5,,,,USA,Oliver Campbell,USA,Clarence Hobart,"2-6, 7-5, 7-9, 6-1, 6-2",M,S,USO,ATP
38,1891,3,7дус9,7,9,,,,USA,Oliver Campbell,USA,Clarence Hobart,"2-6, 7-5, 7-9, 6-1, 6-2",M,S,USO,ATP
39,1891,4,6дус1,6,1,,,,USA,Oliver Campbell,USA,Clarence Hobart,"2-6, 7-5, 7-9, 6-1, 6-2",M,S,USO,ATP
40,1891,5,6дус2,6,2,,,,USA,Oliver Campbell,USA,Clarence Hobart,"2-6, 7-5, 7-9, 6-1, 6-2",M,S,USO,ATP
