player,pronounced,age,birthplace,residence,turned_pro,coach,website,imageURL,player_country,current_rank,player_atp_url,high_rank,high_rank_date,record_career,titles_career,prize_money_career,date_of_birth,player_age,height_cm,height_inches,height_feet,weight_lbs,weight_kgs,wins_career,losses_career,career_win_pct,hand,player_bmi,gender,birth_city,birth_state,birth_country,residence_city,residence_state,residence_country,tour,date_data
Aaron Krickstein,NA,46 (02.08.1967),"Ann Arbor, MI","Grosse Pointe, MI",1983,Gavin Hopper,NA,http://www.atpworldtour.com/~/media/0DCF46F07A5149A8B148471C7475A020.ashx?w=148&h=198,United States,Inactive,http://www.atpworldtour.com/Tennis/Players/Kr/A/Aaron-Krickstein.aspx,6,2/26/90,395-256,9,3710447,8/2/67,46y 0m 362d 12H 0M 0S,183,72.047283,6.003937848,160,73,395,256,0.606758833,R,21.66906101,M,Ann Arbor,Michigan,USA,Grosse Pointe,Michigan,USA,ATP,8/1/14
Adrian Mannarino,NA,26 (29.06.1988),"Soizy, France","Soizy, France",2005,Olivier Ramos,NA,http://www.atpworldtour.com/~/media/889AE8102C304DF7814AE6A4D855E005.ashx?w=148&h=198,France,101,http://www.atpworldtour.com/Tennis/Players/Ma/A/Adrian-Mannarino.aspx,101,7/4/11,43-74,0,1697258,6/29/88,26y 0m 30d 12H 0M 0S,183,72.047283,6.003937848,152,69,43,74,0.367521368,L,20.58560796,M,Soizy,,France,Soizy,,France,ATP,8/1/14
Adrian Ungur,NA,29 (22.01.1985),"Pitesti, Romania","Bucharest, Romania",2003,Fabrizio Fanucci,NA,http://www.atpworldtour.com/~/media/B1052CFA87184CA6A24BAAA13F282124.ashx?w=148&h=198,Romania,158,http://www.atpworldtour.com/Tennis/Players/Un/A/Adrian-Ungur.aspx,158,6/11/12,31-Oct,0,785627,1/22/85,29y 0m 188d 18H 0M 0S,178,70.078778,5.839895831,161,73,10,31,0.243902439,R,23.0466688,M,Pitesti,,Romania,Bucharest,,Romania,ATP,8/1/14
Adrian Voinea,voy-NAY-ah,39 (06.08.1974),"Focsani, Romania","Perugia, Italy",1993,Julian Vespan,NA,http://www.atpworldtour.com/~/media/6633204B0B564368AA9282D6E1BDC469.ashx?w=148&h=198,Romania,Inactive,http://www.atpworldtour.com/Tennis/Players/Vo/A/Adrian-Voinea.aspx,36,4/15/96,136-176,1,1836277,8/6/74,39y 0m 358d 6H 0M 0S,185,72.834685,6.069554656,160,73,136,176,0.435897436,R,21.20307332,M,Focsani,,Romania,Perugia,,Italy,ATP,8/1/14
Adriano Panatta,NA,64 (09.07.1950),"Rome, Italy","Florence, Italy",NA,NA,NA,http://www.atpworldtour.com/~/media/0ED49276A048407499E05E6542B0E840.ashx?w=148&h=198,Italy,Inactive,http://www.atpworldtour.com/Tennis/Players/Pa/A/Adriano-Panatta.aspx,4,8/24/76,369-225,10,776187,7/9/50,64y 0m 21d 0H 0M 0S,183,72.047283,6.003937848,NA,NA,369,225,0.621212121,R,NA,M,Rome,,Italy,Florence,,Italy,ATP,8/1/14
Agustin Calleri,Aw-goo-steen KA-leh-ree,37 (14.09.1976),"Rio Cuarto, Argentina","Buenos Aires, Argentina",1995,NA,NA,http://www.atpworldtour.com/~/media/CF6BD2D6AECB403BA2C53AD0078C089B.ashx?w=148&h=198,Argentina,Inactive,http://www.atpworldtour.com/Tennis/Players/Ca/A/Agustin-Calleri.aspx,16,7/7/03,209-187,2,3753387,9/14/76,37y 0m 318d 18H 0M 0S,183,72.047283,6.003937848,190,86,209,187,0.527777778,R,25.73200995,M,Rio Cuarto,,Argentina,Buenos Aires,,Argentina,ATP,8/1/14
Aki Rahunen,AH-kee ra-HOO-nen,42 (24.12.1971),"Helsinki, Finland",NA,NA,NA,NA,http://www.atpworldtour.com/~/media/C5A09C05728C409FBF3ED5E7814BD061.ashx?w=148&h=198,Finland,Inactive,http://www.atpworldtour.com/Tennis/Players/Ra/A/Aki-Rahunen.aspx,57,6/25/90,31-46,0,257054,12/24/71,42y 0m 218d 12H 0M 0S,175,68.897675,5.74147062,132,60,31,46,0.402597403,R,19.54880088,M,Helsinki,,Finland,,,,ATP,8/1/14
Albert Costa,KOH-sta,39 (25.06.1975),"Lerida, Spain","Barcelona, Spain",1993,NA,NA,http://www.atpworldtour.com/~/media/A5B0E0CC380D4E8081781DC1FB721C3B.ashx?w=148&h=198,Spain,Inactive,http://www.atpworldtour.com/Tennis/Players/Co/A/Albert-Costa.aspx,6,7/22/02,385-273,12,7685228,6/25/75,39y 0m 35d 6H 0M 0S,180,70.86618,5.905512638,172,78,385,273,0.585106383,R,24.0771859,M,Lerida,,Spain,Barcelona,,Spain,ATP,8/1/14
Albert Montanes,Moan-tan-YES,33 (26.11.1980),Sant Carles de la Rapita,"Barcelona, Spain",1999,Narcis Pelach,http://www.albertmontanes.es,http://www.atpworldtour.com/~/media/C51CCDB164A848589F649F8D03280F8C.ashx?w=148&h=198,Spain,119,http://www.atpworldtour.com/Tennis/Players/Top-Players/Albert-Montanes.aspx,119,8/2/10,240-269,6,5437642,11/26/80,33y 0m 245d 18H 0M 0S,175,68.897675,5.74147062,155,70,240,269,0.47151277,R,22.95503134,M,Sant Carles de la Rapita,,Spain,Barcelona,,Spain,ATP,8/1/14
Albert Portas,por-TAHS,40 (15.11.1973),"Barcelona, Spain","Barcelona, Spain",1994,Marcos Aurelio Gorriz,NA,http://www.atpworldtour.com/~/media/707AA66AE4CC47FCBE301576337041E3.ashx?w=148&h=198,Spain,NA,http://www.atpworldtour.com/Tennis/Players/Po/A/Albert-Portas.aspx,-,10/1/01,142-198,1,2972477,11/15/73,40y 0m 257d 0H 0M 0S,188,74.015788,6.167979866,172,78,142,198,0.417647059,R,22.07166204,M,Barcelona,,Spain,Barcelona,,Spain,ATP,8/1/14
Albert Ramos-Vinolas,NA,26 (17.01.1988),"Barcelona, Spain","Mataro, Spain",2007,"Jose Maria Diaz, Noe Losmozos",NA,http://www.atpworldtour.com/~/media/DEBD0B9656ED42EF89FBC08F1D56A1EA.ashx?w=148&h=198,Spain,97,http://www.atpworldtour.com/Tennis/Players/Top-Players/Albert-Ramos-Vinolas.aspx,97,5/21/12,72-89,0,1772740,1/17/88,26y 0m 194d 12H 0M 0S,188,74.015788,6.167979866,177,80,72,89,0.447204969,L,22.71328012,M,Barcelona,,Spain,Mataro,,Spain,ATP,8/1/14
Alberto Berasategui,ber-ah-sah-THE-ghee,41 (28.06.1973),"Bilbao, Spain",Andorra,1991,Francisco Roig,NA,http://www.atpworldtour.com/~/media/3B5DA29FF87E44F485CF4DEC88A1B658.ashx?w=148&h=198,Spain,Inactive,http://www.atpworldtour.com/Tennis/Players/Be/A/Alberto-Berasategui.aspx,7,11/14/94,278-199,14,4676187,6/28/73,41y 0m 31d 18H 0M 0S,173,68.110273,5.675853813,145,66,278,199,0.582809224,R,21.97344167,M,Bilbao,,Spain,Andorra,,Andorra,ATP,8/1/14
Alberto Mancini,man-SEEN-ee,45 (20.05.1969),"Misiones, Argentina","Buenos Aires, Argentina",1987,NA,NA,http://www.atpworldtour.com/~/media/EF2DBE12298F4C5E9652C327669C6749.ashx?w=148&h=198,Argentina,Inactive,http://www.atpworldtour.com/Tennis/Players/Ma/A/Alberto-Mancini.aspx,8,10/9/89,148-125,3,1543120,5/20/69,45y 0m 70d 18H 0M 0S,180,70.86618,5.905512638,174,79,148,125,0.542124542,R,24.35715318,M,Misiones,,Argentina,Buenos Aires,,Argentina,ATP,8/1/14
