"country_code","player","rank","match","tour","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country"
"ARG","Facundo Bagnis",NA,5,"ATP",1,10,"2014-08-23 14:46:59",1990-02-27,72,180,"L",24.4845995893224,24,"Argentina"
"ARG","Leonardo Mayer",23,28,"ATP",1,56,"2014-08-23 14:46:59",1987-05-15,74.015788,183,"R",27.27446954141,27,"Argentina"
"ARG","Diego Schwartzman",NA,1,"ATP",1,2,"2014-08-23 14:46:59",1992-08-16,66.92917,140,"R",22.0177960301164,22,"Argentina"
"ARG","Federico Delbonis",NA,46,"ATP",1,92,"2014-08-23 14:46:59",1990-10-05,74.80319,194,"L",23.8822724161533,23,"Argentina"
"ARG","Juan Monaco",NA,9,"ATP",1,18,"2014-08-23 14:46:59",1984-03-29,72.834685,179,"R",30.4010951403149,30,"Argentina"
"ARG","Maximo Gonzalez",NA,3,"ATP",1,5,"2014-08-23 14:46:59",1983-07-20,68.897675,154,"R",31.0937713894593,31,"Argentina"
"ARG","Carlos Berlocq",NA,50,"ATP",1,99,"2014-08-23 14:46:59",1983-02-03,72.047283,165,"R",31.5509924709103,31,"Argentina"
"AUS","Lleyton Hewitt",NA,33,"ATP",1,66,"2014-08-23 14:46:59",1981-02-24,70.86618,170,"R",33.492128678987,33,"Australia"
"AUS","Bernard Tomic",NA,47,"ATP",1,93,"2014-08-23 14:46:59",1992-10-21,77.165396,201,"R",21.8370978781656,21,"Australia"
"AUS","Sam Groth",NA,63,"ATP",1,126,"2014-08-23 14:46:59",1987-10-19,NA,215,"R",26.8446269678303,26,"Australia"
"AUS","Marinko Matosevic",NA,64,"ATP",1,127,"2014-08-23 14:46:59",1985-08-08,75.984293,190,"R",29.0403832991102,29,"Australia"
"AUS","Nick Kyrgios",NA,21,"ATP",1,42,"2014-08-23 14:46:59",1995-04-27,75.984293,171,"R",19.3237508555784,19,"Australia"
"AUS","Matthew Ebden",NA,27,"ATP",1,53,"2014-08-23 14:46:59",1987-11-26,74.015788,172,"R",26.7405886379192,26,"Australia"
"AUT","Andreas Haider-Maurer",NA,60,"ATP",1,119,"2014-08-23 14:46:59",1987-03-22,74.80319,196,"R",27.4223134839151,27,"Austria"
"AUT","Dominic Thiem",NA,39,"ATP",1,78,"2014-08-23 14:46:59",1993-09-03,72.834685,180,"R",20.9691991786448,20,"Austria"
"AUT","Jurgen Melzer",NA,62,"ATP",1,123,"2014-08-23 14:46:59",1981-05-22,72.047283,178,"L",33.2539356605065,33,"Austria"
"BEL","David Goffin",NA,51,"ATP",1,102,"2014-08-23 14:46:59",1990-12-07,70.86618,150,"R",23.709787816564,23,"Belgium"
"BEL","Niels Desein",NA,51,"ATP",1,101,"2014-08-23 14:46:59",1987-09-06,75,185,"R",26.9623545516769,26,"Belgium"
"BEL","Steve Darcis",NA,34,"ATP",1,67,"2014-08-23 14:46:59",1984-03-13,70.078778,161,"R",30.444900752909,30,"Belgium"
"BIH","Damir Dzumhur",NA,48,"ATP",1,95,"2014-08-23 14:46:59",1992-05-20,69,154,"R",22.258726899384,22,"Bosnia"
"BRA","Thomaz Bellucci",NA,18,"ATP",1,35,"2014-08-23 14:46:59",1987-12-30,74.015788,181,"L",26.6475017111567,26,"Brazil"
"BUL","Grigor Dimitrov",7,49,"ATP",1,97,"2014-08-23 14:46:59",1991-05-16,74.80319,176,"R",23.2717316906229,23,"Bulgaria"
