"player","country_code","rank","match","tour","round","player_id","scrape_time"
"Novak Djokovic","SRB","1",1,"ATP",1,1,2014-08-21 13:58:37
"Diego Schwartzman","ARG",NA,1,"ATP",1,2,2014-08-21 13:58:37
"Gilles Muller","LUX",NA,2,"ATP",1,3,2014-08-21 13:58:37
"Paul-Henri Mathieu","FRA",NA,2,"ATP",1,4,2014-08-21 13:58:37
"Maximo Gonzalez","ARG",NA,3,"ATP",1,5,2014-08-21 13:58:37
"Sam Querrey","USA",NA,3,"ATP",1,6,2014-08-21 13:58:37
"Yen-Hsun Lu","TPE",NA,4,"ATP",1,7,2014-08-21 13:58:37
"Guillermo Garcia-Lopez","ESP","28",4,"ATP",1,8,2014-08-21 13:58:37
"Philipp Kohlschreiber","GER","22",5,"ATP",1,9,2014-08-21 13:58:37
"Qualifier",NA,NA,5,"ATP",1,10,2014-08-21 13:58:37
"Michael Llodra","FRA",NA,6,"ATP",1,11,2014-08-21 13:58:37
"Daniel Gimeno-Traver","ESP",NA,6,"ATP",1,12,2014-08-21 13:58:37
"Mikhail Kukushkin","KAZ",NA,7,"ATP",1,13,2014-08-21 13:58:37
"Jan-Lennard Struff","GER",NA,7,"ATP",1,14,2014-08-21 13:58:37
"Marcos Giron","USA",NA,8,"ATP",1,15,2014-08-21 13:58:37
"John Isner","USA","13",8,"ATP",1,16,2014-08-21 13:58:37
"Jo-Wilfried Tsonga","FRA","9",9,"ATP",1,17,2014-08-21 13:58:37
"Juan Monaco","ARG",NA,9,"ATP",1,18,2014-08-21 13:58:37
"Qualifier",NA,NA,10,"ATP",1,19,2014-08-21 13:58:37
"Aleksandr Nedovyesov","KAZ",NA,10,"ATP",1,20,2014-08-21 13:58:37
"Pablo Carreno Busta","ESP",NA,11,"ATP",1,21,2014-08-21 13:58:37
"Qualifier",NA,NA,11,"ATP",1,22,2014-08-21 13:58:37
"Benoit Paire","FRA",NA,12,"ATP",1,23,2014-08-21 13:58:37
"Julien Benneteau","FRA","24",12,"ATP",1,24,2014-08-21 13:58:37
"Fernando Verdasco","ESP","31",13,"ATP",1,25,2014-08-21 13:58:37
"Blaz Rola","SLO",NA,13,"ATP",1,26,2014-08-21 13:58:37
"Bradley Klahn","USA",NA,14,"ATP",1,27,2014-08-21 13:58:37
"Andrey Kuznetsov","RUS",NA,14,"ATP",1,28,2014-08-21 13:58:37
"Qualifier",NA,NA,15,"ATP",1,29,2014-08-21 13:58:37
"Radek Stepanek","CZE",NA,15,"ATP",1,30,2014-08-21 13:58:37
"Robin Haase","NED",NA,16,"ATP",1,31,2014-08-21 13:58:37
"Andy Murray","GBR","8",16,"ATP",1,32,2014-08-21 13:58:37
"Stan Wawrinka","SUI","3",17,"ATP",1,33,2014-08-21 13:58:37
"Jiri Vesely","CZE",NA,17,"ATP",1,34,2014-08-21 13:58:37
"Thomaz Bellucci","BRA",NA,18,"ATP",1,35,2014-08-21 13:58:37
"Nicolas Mahut","FRA",NA,18,"ATP",1,36,2014-08-21 13:58:37
"Blaz Kavcic","SLO",NA,19,"ATP",1,37,2014-08-21 13:58:37
"Donald Young","USA",NA,19,"ATP",1,38,2014-08-21 13:58:37
"Alejandro Falla","COL",NA,20,"ATP",1,39,2014-08-21 13:58:37
"Jeremy Chardy","FRA","30",20,"ATP",1,40,2014-08-21 13:58:37
"Mikhail Youzhny","RUS","21",21,"ATP",1,41,2014-08-21 13:58:37
"Nick Kyrgios","AUS",NA,21,"ATP",1,42,2014-08-21 13:58:37
"Sergiy Stakhovsky","UKR",NA,22,"ATP",1,43,2014-08-21 13:58:37
"Andreas Seppi","ITA",NA,22,"ATP",1,44,2014-08-21 13:58:37
"Simone Bolelli","ITA",NA,23,"ATP",1,45,2014-08-21 13:58:37
"Vasek Pospisil","CAN",NA,23,"ATP",1,46,2014-08-21 13:58:37
"Edouard Roger-Vasselin","FRA",NA,24,"ATP",1,47,2014-08-21 13:58:37
"Tommy Robredo","ESP","16",24,"ATP",1,48,2014-08-21 13:58:37
"Kei Nishikori","JPN","10",25,"ATP",1,49,2014-08-21 13:58:37
"Wayne Odesnik","USA",NA,25,"ATP",1,50,2014-08-21 13:58:37
"Pablo Andujar","ESP",NA,26,"ATP",1,51,2014-08-21 13:58:37
"Jack Sock","USA",NA,26,"ATP",1,52,2014-08-21 13:58:37
"Matthew Ebden","AUS",NA,27,"ATP",1,53,2014-08-21 13:58:37
"Tobias Kamke","GER",NA,27,"ATP",1,54,2014-08-21 13:58:37
"Albert Montanes","ESP",NA,28,"ATP",1,55,2014-08-21 13:58:37
"Leonardo Mayer","ARG","23",28,"ATP",1,56,2014-08-21 13:58:37
"Lukas Rosol","CZE","29",29,"ATP",1,57,2014-08-21 13:58:37
"Qualifier",NA,NA,29,"ATP",1,58,2014-08-21 13:58:37
"Victor Estrella Burgos","DOM",NA,30,"ATP",1,59,2014-08-21 13:58:37
"Igor Sijsling","NED",NA,30,"ATP",1,60,2014-08-21 13:58:37
"Qualifier",NA,NA,31,"ATP",1,61,2014-08-21 13:58:37
"Benjamin Becker","GER",NA,31,"ATP",1,62,2014-08-21 13:58:37
"Qualifier",NA,NA,32,"ATP",1,63,2014-08-21 13:58:37
"Milos Raonic","CAN","5",32,"ATP",1,64,2014-08-21 13:58:37
"Tomas Berdych","CZE","6",33,"ATP",1,65,2014-08-21 13:58:37
"Lleyton Hewitt","AUS",NA,33,"ATP",1,66,2014-08-21 13:58:37
