"","year","set_number","score_sets","games_winner","games_loser","score_extra","tiebreaker_winner","tiebreaker_loser","country_winner","winner","country_loser","loser","score_match","genderID","tourID","typeID","tournID"
"1","1887",1,"6–1","6","1","",NA,"","USA","Ellen Hansell","USA","Laura Knight","6–1, 6–0","F","WTA","S","USO"
"2","1887",2,"6–0","6","0","",NA,"","USA","Ellen Hansell","USA","Laura Knight","6–1, 6–0","F","WTA","S","USO"
"3","1888",1,"6–3","6","3","",NA,"","USA","Bertha Townsend","USA","Ellen Hansell","6–3, 6–5","F","WTA","S","USO"
"4","1888",2,"6–5","6","5","",NA,"","USA","Bertha Townsend","USA","Ellen Hansell","6–3, 6–5","F","WTA","S","USO"
"5","1889",1,"7–5","7","5","",NA,"","USA","Bertha Townsend","USA","Lida Voorhees","7–5, 6–2","F","WTA","S","USO"
"6","1889",2,"6–2","6","2","",NA,"","USA","Bertha Townsend","USA","Lida Voorhees","7–5, 6–2","F","WTA","S","USO"
"7","1890",1,"6–2","6","2","",NA,"","USA","Ellen Roosevelt","USA","Bertha Townsend","6–2, 6–2","F","WTA","S","USO"
"8","1890",2,"6–2","6","2","",NA,"","USA","Ellen Roosevelt","USA","Bertha Townsend","6–2, 6–2","F","WTA","S","USO"
"9","1891",1,"6–4","6","4","",NA,"","BRI","Mabel Cahill","USA","Ellen Roosevelt","6–4, 6–1, 4–6, 6–3","F","WTA","S","USO"
"10","1891",2,"6–1","6","1","",NA,"","BRI","Mabel Cahill","USA","Ellen Roosevelt","6–4, 6–1, 4–6, 6–3","F","WTA","S","USO"
"11","1891",3,"4–6","4","6","",NA,"","BRI","Mabel Cahill","USA","Ellen Roosevelt","6–4, 6–1, 4–6, 6–3","F","WTA","S","USO"
"12","1891",4,"6–3","6","3","",NA,"","BRI","Mabel Cahill","USA","Ellen Roosevelt","6–4, 6–1, 4–6, 6–3","F","WTA","S","USO"
"13","1892",1,"5–7","5","7","",NA,"","BRI","Mabel Cahill","USA","Elisabeth Moore","5–7, 6–3, 6–4, 4–6, 6–2","F","WTA","S","USO"
"14","1892",2,"6–3","6","3","",NA,"","BRI","Mabel Cahill","USA","Elisabeth Moore","5–7, 6–3, 6–4, 4–6, 6–2","F","WTA","S","USO"
"15","1892",3,"6–4","6","4","",NA,"","BRI","Mabel Cahill","USA","Elisabeth Moore","5–7, 6–3, 6–4, 4–6, 6–2","F","WTA","S","USO"
