player,date_of_birth,pronounced,height_inches,height_meters,weight_lbs,hand,backhand,pro_date,retire_date,pro_year,retire_year,birthplace,birth_city,birth_state,birth_country,primary_residence,primary_city,primary_state,primary_country,secondary_residence,secondary_city,secondary_state,secondary_country,player_url,ytd_wta_singles_titles,career_wta_singles_titles,ytd_wta_doubles_titles,career_wta_doubles_titles,ytd_itf_singles_titles,career_itf_singles_titles,ytd_itf_doubles_titles,career_itf_doubles_titles,ytd_prize_money,career_prize_money,ytd_wl_singles,career_wl_singles,ytd_wl_doubles,career_wl_doubles,ytd_singles_wins,ytd_singles_losses,career_singles_wins,career_singles_losses,ytd_doubles_wins,ytd_doubles_losses,career_doubles_wins,career_doubles_losses,tour,date_data,bmi
Abigail Spears,7/12/81,NA,69,1.7,168,R,two,Oct-00,NA,2000,NA,"Valley Center, California, USA",Valley Center,California,USA,"San Diego, California, USA",San Diego,California,USA,,,,,http://www.wtatennis.com/players/player/7926/title/abigail-spears,0,0,1,13,0,8,0,21,220494,1599641,3-Jan,284-249,26-14,414-298,1,3,284,249,26,14,414,298,WTA,8/5/14,24.80655325
Adriana Rikl Gersi,6/26/76,NA,65,1.6,117,R,two,1-Apr-94,2002,1994,2002,"Sternberk, Czech Republic",Sternberk,,Czech Republic,"Naples, FL, USA",Naples,Florida,USA,,,,,http://www.wtatennis.com/players/player/2941/title/adriana-rikl-gersi,NA,1,NA,0,NA,5,NA,1,0,568774,NA,186-168,NA,18-17,NA,NA,186,168,NA,NA,18,17,WTA,8/5/14,19.46769231
Adriana Serra Zanetti,3/5/76,se-rah za-NET-ee,63,1.6,123,R,two,1992,NA,1992,NA,"Modena, Italy",Modena,,Italy,"Modena, Italy",Modena,,Italy,,,,,http://www.wtatennis.com/players/player/7488/title/adriana-serra-zanetti,NA,0,NA,3,NA,1,NA,0,0,787665,NA,296-343,NA,97-129,NA,NA,296,343,NA,NA,97,129,WTA,8/5/14,21.78609221
Adriana Villagran-Reami,8/7/56,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8603/title/adriana-villagran-reami,NA,0,NA,0,NA,0,NA,0,0,179272,NA,76-118,NA,62-119,NA,NA,76,118,NA,NA,62,119,WTA,8/5/14,NA
Agnes Szavay,12/29/88,SHAH-veye,67,1.7,139,R,two,2004,13-Feb,2004,2013,"Kiskunhalas, Hungary",Kiskunhalas,,Hungary,"Budapest, Hungary",Budapest,,Hungary,,,,,http://www.wtatennis.com/players/player/11168/title/agnes-szavay,NA,5,NA,2,NA,3,NA,3,0,2120121,NA,219-125,NA,101-78,NA,NA,219,125,NA,NA,101,78,WTA,8/5/14,21.7680998
Agnieszka Radwanska,3/6/89,NA,68,1.7,123,R,two,23-Apr-05,NA,2005,NA,"Krakow, Poland",Krakow,,Poland,"Krakow, Poland",Krakow,,Poland,,,,,http://www.wtatennis.com/players/player/11530/title/agnieszka-radwanska,0,13,0,2,0,2,0,2,1823807,15993816,35-14,439-186,Feb-00,113-86,35,14,439,186,2,0,113,86,WTA,8/5/14,18.70004325
Ahsha Rolle,3/21/85,ah-sha,68,1.7,160,R,one,2004,NA,2004,NA,"Miami Shores, Florida, USA",Miami Shores,Florida,USA,"Miami Shores, Florida, USA",Miami Shores,Florida,USA,,,,,http://www.wtatennis.com/players/player/9572/title/ahsha-rolle,NA,0,NA,0,NA,3,NA,10,0,388608,NA,237-207,NA,165-144,NA,NA,237,207,NA,NA,165,144,WTA,8/5/14,24.32525952
Ai Sugiyama,7/5/75,eye soo-gee-AH-mah,64,1.6,121,R,two,Oct-92,2009,1992,2009,"Tokyo, Japan",Tokyo,,Japan,"Kanagawa, Japan",Kanagawa,,Japan,,,,,http://www.wtatennis.com/players/player/7224/title/ai-sugiyama,NA,6,NA,38,NA,1,NA,4,0,8128126,NA,492-419,NA,566-295,NA,NA,492,419,NA,NA,566,295,WTA,8/5/14,20.76733398
Aiko Nakamura,12/28/83,EYE-koh na-ka-MOO-rah,64,1.6,123,R,two,1999,NA,1999,NA,"Osaka, Japan",Osaka,,Japan,"Osaka, Japan",Osaka,,Japan,,,,,http://www.wtatennis.com/players/player/5951/title/aiko-nakamura,NA,0,NA,0,NA,4,NA,3,0,862381,NA,268-237,NA,80-113,NA,NA,268,237,NA,NA,80,113,WTA,8/5/14,21.1105957
Ajla Tomljanovic,5/7/93,EYE-la tom-lee-AN-o-vitch,61,1.8,148,R,two,9-Dec,NA,2009,NA,"Zagreb, Croatia",Zagreb,,Croatia,"Boca Raton, FL, USA",Boca Raton,Florida,USA,,,,,http://www.wtatennis.com/players/player/14384/title/ajla-tomljanovic,0,0,0,0,0,4,0,3,405882,752659,19-18,176-108,8-Aug,41-32,19,18,176,108,8,8,41,32,WTA,8/5/14,27.96130073
