player,type,result,tour,year,percentage
Serena Williams,Serves,1st Serves in Play ,WTA Tour Stats,2014,0.60
Serena Williams,Serves,1st Serve Points Won,WTA Tour Stats,2014,0.74
Serena Williams,Serves,2nd Serve Points Won,WTA Tour Stats,2014,0.50
Serena Williams,Serves,Service Games Won,WTA Tour Stats,2014,0.81
Serena Williams,Serves,1st Serves in Play ,Grand Slam Losses,2014,0.67
Serena Williams,Serves,1st Serve Points Won,Grand Slam Losses,2014,0.65
Serena Williams,Serves,2nd Serve Points Won,Grand Slam Losses,2014,0.34
Serena Williams,Serves,Service Games Won,Grand Slam Losses,2014,0.60
Serena Williams,Returning Serve,1st Serve Return Points Won,WTA Tour Stats,2014,0.43
Serena Williams,Returning Serve,2nd Serve Return Points Won,WTA Tour Stats,2014,0.57
Serena Williams,Returning Serve,Return Games Won,WTA Tour Stats,2014,0.47
Serena Williams,Returning Serve,1st Serve Return Points Won,WTA Tour Stats,2014,0.28
Serena Williams,Returning Serve,2nd Serve Return Points Won,Grand Slam Losses,2014,0.48
Serena Williams,Returning Serve,Return Games Won,Grand Slam Losses,2014,0.23
